SectionId,SectionName,DistrictId,DistrictName,AreaId,AreaName,Link
6243299,USTA/MID ATLANTIC,6243341,MARYLAND,6243480,FREDERICK,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243299&DistrictNodeID=6243341&SubDistrictNodeID=6243480&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243299,USTA/MID ATLANTIC,6243341,MARYLAND,6243489,HARFORD,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243299&DistrictNodeID=6243341&SubDistrictNodeID=6243489&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243299,USTA/MID ATLANTIC,6243341,MARYLAND,6243481,HOWARD,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243299&DistrictNodeID=6243341&SubDistrictNodeID=6243481&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243299,USTA/MID ATLANTIC,6243341,MARYLAND,6243482,MONTGOMERY,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243299&DistrictNodeID=6243341&SubDistrictNodeID=6243482&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243299,USTA/MID ATLANTIC,6243341,MARYLAND,6243477,PRINCE GEORGES,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243299&DistrictNodeID=6243341&SubDistrictNodeID=6243477&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243299,USTA/MID ATLANTIC,6243341,MARYLAND,6243484,ST. MARYS,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243299&DistrictNodeID=6243341&SubDistrictNodeID=6243484&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243299,USTA/MID ATLANTIC,6243341,MARYLAND,6243485,TALBOT,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243299&DistrictNodeID=6243341&SubDistrictNodeID=6243485&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243299,USTA/MID ATLANTIC,6243343,VIRGINIA,6243505,! NOT A LEAGUE ! HOLDING AREA ! ADMIN USE,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243299&DistrictNodeID=6243343&SubDistrictNodeID=6243505&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243299,USTA/MID ATLANTIC,6243343,VIRGINIA,6243513,BLACKSBURG,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243299&DistrictNodeID=6243343&SubDistrictNodeID=6243513&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243299,USTA/MID ATLANTIC,6243343,VIRGINIA,6243500,CHARLOTTESVILLE,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243299&DistrictNodeID=6243343&SubDistrictNodeID=6243500&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243299,USTA/MID ATLANTIC,6243343,VIRGINIA,6243501,FREDERICKSBURG,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243299&DistrictNodeID=6243343&SubDistrictNodeID=6243501&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243299,USTA/MID ATLANTIC,6243343,VIRGINIA,6243504,HAMPTON ROADS,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243299&DistrictNodeID=6243343&SubDistrictNodeID=6243504&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
